"","geoid","longitude","latitude","elevation","month","precip","tmin","tmean","tmax","tdew","rh"
"26","14000US18097310110",-86.283,39.8453,245,"2018-02",118.22,-2.5,2.4,7.3,-3.1,66.9317234542259
"27","14000US18097310110",-86.283,39.8453,245,"2018-03",109.15,-0.9,3.8,8.4,-3.9,57.0782239189329
"28","14000US18097310110",-86.283,39.8453,245,"2018-04",108.86,2.6,7.9,13.2,-0.5,55.2744428068572
"29","14000US18097310110",-86.283,39.8453,245,"2018-05",63.65,16.4,22.1,27.7,13.1,56.6757985297278
"30","14000US18097310110",-86.283,39.8453,245,"2018-06",168.74,19.4,24.2,29,17.1,64.5735556323504
"31","14000US18097310110",-86.283,39.8453,245,"2018-07",59.83,19.8,24.7,29.6,17.2,63.0688858803602
"32","14000US18097310110",-86.283,39.8453,245,"2018-08",117.45,19.7,24,28.4,18.3,70.4869072635718
"33","14000US18097310110",-86.283,39.8453,245,"2018-09",157.93,17.3,21.9,26.4,15.9,68.7528979386017
"34","14000US18097310110",-86.283,39.8453,245,"2018-10",72.04,8.6,13.6,18.7,7.3,65.6596198052823
"35","14000US18097310110",-86.283,39.8453,245,"2018-11",108.02,-0.3,3.2,6.7,-1.3,72.2593982974807
"36","14000US18097310110",-86.283,39.8453,245,"2018-12",71.01,-1.8,2.1,6,-2.3,72.5782130125289
"37","14000US18097310310",-86.2626,39.8607,254,"2018-01",57.37,-10.1,-5.2,-0.3,-8.9,75.1243250755426
"38","14000US18097310310",-86.2626,39.8607,254,"2018-02",117.38,-2.8,2.2,7.2,-2.9,68.9154139945722
"39","14000US18097310310",-86.2626,39.8607,254,"2018-03",110.17,-1.2,3.5,8.3,-3.7,59.1828075820128
"40","14000US18097310310",-86.2626,39.8607,254,"2018-04",106.85,2.3,7.7,13.1,-0.4,56.444566655443
"41","14000US18097310310",-86.2626,39.8607,254,"2018-05",60.78,16,21.8,27.7,13.1,57.7220456990659
"42","14000US18097310310",-86.2626,39.8607,254,"2018-06",168.31,18.9,23.9,28.8,17.2,66.1638068527825
"43","14000US18097310310",-86.2626,39.8607,254,"2018-07",60,19.2,24.3,29.3,17.4,65.4173849438677
"44","14000US18097310310",-86.2626,39.8607,254,"2018-08",136.96,19.2,23.7,28.2,18.4,72.2204969135496
"45","14000US18097310310",-86.2626,39.8607,254,"2018-09",163.2,16.9,21.6,26.4,15.9,70.0240694407461
"46","14000US18097310310",-86.2626,39.8607,254,"2018-10",80.92,8.2,13.4,18.6,7.4,66.9777869779953
"47","14000US18097310310",-86.2626,39.8607,254,"2018-11",105.49,-0.7,2.9,6.5,-1.2,74.3585679170169
"48","14000US18097310310",-86.2626,39.8607,254,"2018-12",70.21,-2.1,1.8,5.7,-2.1,75.2616928808615
"49","14000US18097330109",-86.0196,39.9161,252,"2018-01",54.22,-10.5,-5.3,-0.1,-8,81.2213618477517
"50","14000US18097330109",-86.0196,39.9161,252,"2018-02",116.66,-2.9,2.2,7.2,-2,73.6814333121843
"51","14000US18097330109",-86.0196,39.9161,252,"2018-03",109.61,-1.9,3.1,8,-3,64.1586858578735
"52","14000US18097330109",-86.0196,39.9161,252,"2018-04",112.56,1.4,7.2,13,0.4,61.9101783426478
"53","14000US18097330109",-86.0196,39.9161,252,"2018-05",40.26,15,21.3,27.6,13.7,61.8889521769635
"54","14000US18097330109",-86.0196,39.9161,252,"2018-06",197.02,17.8,23.2,28.5,17.6,70.7789116171052
"55","14000US18097330109",-86.0196,39.9161,252,"2018-07",64.96,18.1,23.6,29.2,18,70.8547236171849
"56","14000US18097330109",-86.0196,39.9161,252,"2018-08",169.66,18.3,23.2,28.1,18.8,76.3167606346288
"57","14000US18097330109",-86.0196,39.9161,252,"2018-09",183.52,16,21,26,16.3,74.5250475943144
"58","14000US18097330109",-86.0196,39.9161,252,"2018-10",71.23,7.1,12.6,18.2,7.8,72.5315285613272
"59","14000US18097330109",-86.0196,39.9161,252,"2018-11",114.29,-1.2,2.6,6.4,-0.5,79.9613251999135
"60","14000US18097330109",-86.0196,39.9161,252,"2018-12",71.91,-2.5,1.5,5.6,-1.5,80.3858343073506
"61","14000US18097330804",-86.0007,39.8372,262,"2018-01",55,-10.1,-5.1,-0.1,-7.9,80.6206334481882
"62","14000US18097330804",-86.0007,39.8372,262,"2018-02",129.21,-3.3,1.8,7,-2.1,75.2616928808615
"63","14000US18097330804",-86.0007,39.8372,262,"2018-03",114.14,-2,3,8,-2.9,65.0993929509178
"64","14000US18097330804",-86.0007,39.8372,262,"2018-04",121,1.6,7.4,13.1,0.4,61.0678477316033
"65","14000US18097330804",-86.0007,39.8372,262,"2018-05",60,15.3,21.4,27.5,13.8,61.9122573547134
"66","14000US18097330804",-86.0007,39.8372,262,"2018-06",212.22,18,23.1,28.3,17.7,71.6581603725162
"67","14000US18097330804",-86.0007,39.8372,262,"2018-07",54.95,18.1,23.5,28.9,18,71.2827497712872
"68","14000US18097330804",-86.0007,39.8372,262,"2018-08",162.75,18.2,23.1,28,18.8,76.7792038470065
"69","14000US18097330804",-86.0007,39.8372,262,"2018-09",189.26,15.9,20.8,25.8,16.4,75.9290040440948
"70","14000US18097330804",-86.0007,39.8372,262,"2018-10",65.31,7.1,12.6,18,7.9,73.0277999964469
"71","14000US18097330804",-86.0007,39.8372,262,"2018-11",116.33,-1.2,2.6,6.5,-0.5,79.9613251999135
"72","14000US18097330804",-86.0007,39.8372,262,"2018-12",74.82,-2.6,1.4,5.5,-1.5,80.9658363849018
"73","14000US18097370301",-86.297,39.6537,232,"2018-01",62.18,-10.3,-5.1,0.1,-8.8,75.1429809319652
"74","14000US18097370301",-86.297,39.6537,232,"2018-02",129.83,-2.4,2.5,7.3,-2.7,68.4687983597708
"75","14000US18097370301",-86.297,39.6537,232,"2018-03",115.98,-1.3,3.5,8.4,-3.7,59.1828075820128
"76","14000US18097370301",-86.297,39.6537,232,"2018-04",143.11,2.4,7.9,13.3,-0.3,56.0875992613248
"77","14000US18097370301",-86.297,39.6537,232,"2018-05",38.74,16.4,22.1,27.7,13.2,57.0472907676864
"78","14000US18097370301",-86.297,39.6537,232,"2018-06",131.72,19.3,24,28.8,17.3,66.1849983717971
"79","14000US18097370301",-86.297,39.6537,232,"2018-07",63.37,19.6,24.7,29.8,17.4,63.871398070715
"80","14000US18097370301",-86.297,39.6537,232,"2018-08",120.32,19.5,24,28.5,18.4,70.9302645412909
"81","14000US18097370301",-86.297,39.6537,232,"2018-09",132.04,17.2,21.8,26.5,16.1,70.0630189710016
"82","14000US18097370301",-86.297,39.6537,232,"2018-10",54.6,8.1,13.3,18.4,7.4,67.4161029319815
"83","14000US18097370301",-86.297,39.6537,232,"2018-11",115.71,-0.7,3.1,6.9,-1.1,73.8513030631305
"84","14000US18097370301",-86.297,39.6537,232,"2018-12",73.85,-1.8,2.1,6,-2,74.209946761746
"85","14000US18097340109",-86.2828,39.8126,245,"2018-01",55.32,-9.9,-5,-0.2,-9.1,72.8365609215955
"86","14000US18097340109",-86.2828,39.8126,245,"2018-02",118.22,-2.5,2.4,7.3,-3.1,66.9317234542259
"87","14000US18097340109",-86.2828,39.8126,245,"2018-03",109.15,-0.9,3.8,8.4,-3.9,57.0782239189329
"88","14000US18097340109",-86.2828,39.8126,245,"2018-04",108.86,2.6,7.9,13.2,-0.5,55.2744428068572
"89","14000US18097340109",-86.2828,39.8126,245,"2018-05",63.65,16.4,22.1,27.7,13.1,56.6757985297278
"90","14000US18097340109",-86.2828,39.8126,245,"2018-06",168.74,19.4,24.2,29,17.1,64.5735556323504
"91","14000US18097340109",-86.2828,39.8126,245,"2018-07",59.83,19.8,24.7,29.6,17.2,63.0688858803602
"92","14000US18097340109",-86.2828,39.8126,245,"2018-08",117.45,19.7,24,28.4,18.3,70.4869072635718
"93","14000US18097340109",-86.2828,39.8126,245,"2018-09",157.93,17.3,21.9,26.4,15.9,68.7528979386017
"94","14000US18097340109",-86.2828,39.8126,245,"2018-10",72.04,8.6,13.6,18.7,7.3,65.6596198052823
"95","14000US18097340109",-86.2828,39.8126,245,"2018-11",108.02,-0.3,3.2,6.7,-1.3,72.2593982974807
"96","14000US18097340109",-86.2828,39.8126,245,"2018-12",71.01,-1.8,2.1,6,-2.3,72.5782130125289
"97","14000US18097340108",-86.2728,39.8123,236,"2018-01",58.21,-10.1,-5,0,-8.9,73.9909747253536
"98","14000US18097340108",-86.2728,39.8123,236,"2018-02",124.39,-2.3,2.5,7.3,-2.8,67.9606623253656
"99","14000US18097340108",-86.2728,39.8123,236,"2018-03",111.3,-1,3.7,8.4,-3.7,58.35283540486
"100","14000US18097340108",-86.2728,39.8123,236,"2018-04",116.8,2.6,7.9,13.2,-0.3,56.0875992613248
"101","14000US18097340108",-86.2728,39.8123,236,"2018-05",59.13,16.6,22.1,27.7,13.2,57.0472907676864
"102","14000US18097340108",-86.2728,39.8123,236,"2018-06",134.03,19.5,24.1,28.8,17.2,65.3743245709983
"103","14000US18097340108",-86.2728,39.8123,236,"2018-07",63.22,20,24.8,29.7,17.4,63.4913683371722
"104","14000US18097340108",-86.2728,39.8123,236,"2018-08",125.78,19.8,24.1,28.5,18.4,70.5059781429245
"105","14000US18097340108",-86.2728,39.8123,236,"2018-09",154.74,17.5,21.9,26.4,16,69.193610102257
"106","14000US18097340108",-86.2728,39.8123,236,"2018-10",58.16,8.6,13.5,18.5,7.4,66.5426669325083
"107","14000US18097340108",-86.2728,39.8123,236,"2018-11",108.39,-0.4,3.2,6.7,-1.1,73.3296940667277
"108","14000US18097340108",-86.2728,39.8123,236,"2018-12",70.3,-1.7,2.2,6,-2.1,73.1378494390428
"109","14000US18097340300",-86.2477,39.8133,237,"2018-01",57.78,-9.9,-5,-0.1,-8.9,73.9909747253536
"110","14000US18097340300",-86.2477,39.8133,237,"2018-02",119.65,-2.2,2.6,7.4,-2.8,67.4782627357682
"111","14000US18097340300",-86.2477,39.8133,237,"2018-03",109.76,-0.8,3.8,8.4,-3.8,57.5090393582134
"112","14000US18097340300",-86.2477,39.8133,237,"2018-04",110.84,2.7,7.9,13.2,-0.4,55.6797082370978
"113","14000US18097340300",-86.2477,39.8133,237,"2018-05",58.67,16.5,22.1,27.7,13.2,57.0472907676864
"114","14000US18097340300",-86.2477,39.8133,237,"2018-06",166.21,19.5,24.2,28.8,17.2,64.983570549096
"115","14000US18097340300",-86.2477,39.8133,237,"2018-07",59.1,20,24.8,29.6,17.4,63.4913683371722
"116","14000US18097340300",-86.2477,39.8133,237,"2018-08",125.21,19.8,24.1,28.4,18.4,70.5059781429245
"117","14000US18097340300",-86.2477,39.8133,237,"2018-09",168.63,17.5,21.9,26.3,16,69.193610102257
"118","14000US18097340300",-86.2477,39.8133,237,"2018-10",71.52,8.8,13.7,18.5,7.5,66.1327925771942
"119","14000US18097340300",-86.2477,39.8133,237,"2018-11",106.68,-0.2,3.3,6.7,-1.1,72.8121981802208
"120","14000US18097340300",-86.2477,39.8133,237,"2018-12",71.28,-1.6,2.2,6.1,-2.1,73.1378494390428
"121","14000US18097340400",-86.233,39.8167,237,"2018-01",57.78,-9.9,-5,-0.1,-8.9,73.9909747253536
"122","14000US18097340400",-86.233,39.8167,237,"2018-02",119.65,-2.2,2.6,7.4,-2.8,67.4782627357682
"123","14000US18097340400",-86.233,39.8167,237,"2018-03",109.76,-0.8,3.8,8.4,-3.8,57.5090393582134
"124","14000US18097340400",-86.233,39.8167,237,"2018-04",110.84,2.7,7.9,13.2,-0.4,55.6797082370978
"125","14000US18097340400",-86.233,39.8167,237,"2018-05",58.67,16.5,22.1,27.7,13.2,57.0472907676864
"126","14000US18097340400",-86.233,39.8167,237,"2018-06",166.21,19.5,24.2,28.8,17.2,64.983570549096
"127","14000US18097340400",-86.233,39.8167,237,"2018-07",59.1,20,24.8,29.6,17.4,63.4913683371722
"128","14000US18097340400",-86.233,39.8167,237,"2018-08",125.21,19.8,24.1,28.4,18.4,70.5059781429245
"129","14000US18097340400",-86.233,39.8167,237,"2018-09",168.63,17.5,21.9,26.3,16,69.193610102257
"130","14000US18097340400",-86.233,39.8167,237,"2018-10",71.52,8.8,13.7,18.5,7.5,66.1327925771942
"131","14000US18097340400",-86.233,39.8167,237,"2018-11",106.68,-0.2,3.3,6.7,-1.1,72.8121981802208
"132","14000US18097340400",-86.233,39.8167,237,"2018-12",71.28,-1.6,2.2,6.1,-2.1,73.1378494390428
"133","14000US18097340600",-86.2048,39.7991,219,"2018-01",56.4,-10.1,-5,0.1,-8.7,75.1616171291859
"134","14000US18097340600",-86.2048,39.7991,219,"2018-02",123,-1.8,2.8,7.5,-2.5,68.026988769127
"135","14000US18097340600",-86.2048,39.7991,219,"2018-03",106.82,-0.6,3.9,8.4,-3.5,58.4057888680417
"136","14000US18097340600",-86.2048,39.7991,219,"2018-04",111.76,3,8.2,13.3,-0.1,55.7607936281906
"137","14000US18097340600",-86.2048,39.7991,219,"2018-05",55.35,17,22.4,27.7,13.5,57.1225865583347
"138","14000US18097340600",-86.2048,39.7991,219,"2018-06",143.01,19.9,24.4,28.9,17.4,65.0269692898697
"139","14000US18097340600",-86.2048,39.7991,219,"2018-07",59.43,20.3,25.2,30,17.6,62.7841671099796
"140","14000US18097340600",-86.2048,39.7991,219,"2018-08",127.45,20.3,24.5,28.7,18.6,69.7048762532771
"141","14000US18097340600",-86.2048,39.7991,219,"2018-09",164.6,18,22.3,26.5,16.2,68.3958167748633
"142","14000US18097340600",-86.2048,39.7991,219,"2018-10",56.12,8.9,13.7,18.5,7.5,66.1327925771942
"143","14000US18097340600",-86.2048,39.7991,219,"2018-11",107.88,-0.1,3.4,6.8,-0.9,73.3678335422498
"144","14000US18097340600",-86.2048,39.7991,219,"2018-12",70.08,-1.4,2.5,6.3,-1.8,73.195604319538
"145","14000US18097356400",-86.1846,39.7653,213,"2018-01",53.74,-10.1,-5,0.2,-8.6,75.7530856466331
"146","14000US18097356400",-86.1846,39.7653,213,"2018-02",118.28,-1.7,2.9,7.6,-2.4,68.0490560882385
"147","14000US18097356400",-86.1846,39.7653,213,"2018-03",107.04,-0.7,3.9,8.4,-3.4,58.8451120515708
"148","14000US18097356400",-86.1846,39.7653,213,"2018-04",117.74,3.1,8.2,13.4,0,56.168242497781
"149","14000US18097356400",-86.1846,39.7653,213,"2018-05",48.2,17.1,22.5,27.8,13.6,57.1476481895219
"150","14000US18097356400",-86.1846,39.7653,213,"2018-06",117.39,19.9,24.4,28.9,17.4,65.0269692898697
"151","14000US18097356400",-86.1846,39.7653,213,"2018-07",65.64,20.4,25.3,30.2,17.7,62.8067558934896
"152","14000US18097356400",-86.1846,39.7653,213,"2018-08",125.47,20.4,24.6,28.7,18.6,69.2895058879185
"153","14000US18097356400",-86.1846,39.7653,213,"2018-09",140.88,18.1,22.3,26.6,16.2,68.3958167748633
"154","14000US18097356400",-86.1846,39.7653,213,"2018-10",50.07,8.8,13.7,18.5,7.6,66.5863962094383
"155","14000US18097356400",-86.1846,39.7653,213,"2018-11",109.22,-0.3,3.3,6.9,-0.8,74.4324288099622
"156","14000US18097356400",-86.1846,39.7653,213,"2018-12",73.08,-1.3,2.6,6.4,-1.7,73.2148174748131
"157","14000US18097356900",-86.1543,39.7472,213,"2018-01",53.74,-10.1,-5,0.2,-8.6,75.7530856466331
"158","14000US18097356900",-86.1543,39.7472,213,"2018-02",118.28,-1.7,2.9,7.6,-2.4,68.0490560882385
"159","14000US18097356900",-86.1543,39.7472,213,"2018-03",107.04,-0.7,3.9,8.4,-3.4,58.8451120515708
"160","14000US18097356900",-86.1543,39.7472,213,"2018-04",117.74,3.1,8.2,13.4,0,56.168242497781
"161","14000US18097356900",-86.1543,39.7472,213,"2018-05",48.2,17.1,22.5,27.8,13.6,57.1476481895219
"162","14000US18097356900",-86.1543,39.7472,213,"2018-06",117.39,19.9,24.4,28.9,17.4,65.0269692898697
"163","14000US18097356900",-86.1543,39.7472,213,"2018-07",65.64,20.4,25.3,30.2,17.7,62.8067558934896
"164","14000US18097356900",-86.1543,39.7472,213,"2018-08",125.47,20.4,24.6,28.7,18.6,69.2895058879185
"165","14000US18097356900",-86.1543,39.7472,213,"2018-09",140.88,18.1,22.3,26.6,16.2,68.3958167748633
"166","14000US18097356900",-86.1543,39.7472,213,"2018-10",50.07,8.8,13.7,18.5,7.6,66.5863962094383
"167","14000US18097356900",-86.1543,39.7472,213,"2018-11",109.22,-0.3,3.3,6.9,-0.8,74.4324288099622
"168","14000US18097356900",-86.1543,39.7472,213,"2018-12",73.08,-1.3,2.6,6.4,-1.7,73.2148174748131
"169","14000US18097357000",-86.1448,39.7462,228,"2018-01",53.71,-10.2,-5.1,0,-8.5,76.9309436821424
"170","14000US18097357000",-86.1448,39.7462,228,"2018-02",123.69,-2.1,2.6,7.4,-2.4,69.5164809510028
"171","14000US18097357000",-86.1448,39.7462,228,"2018-03",110.35,-1.1,3.6,8.3,-3.4,60.1034428155004
"172","14000US18097357000",-86.1448,39.7462,228,"2018-04",122.54,2.7,8,13.4,0,56.9379136074762
"173","14000US18097357000",-86.1448,39.7462,228,"2018-05",44.95,16.5,22.2,27.8,13.5,57.8215376721293
"174","14000US18097357000",-86.1448,39.7462,228,"2018-06",120.08,19.4,24.1,28.9,17.4,66.2061720290929
"175","14000US18097357000",-86.1448,39.7462,228,"2018-07",59.04,19.6,24.7,29.8,17.7,65.0919326777032
"176","14000US18097357000",-86.1448,39.7462,228,"2018-08",139.49,19.8,24.1,28.3,18.6,71.3946724227674
"177","14000US18097357000",-86.1448,39.7462,228,"2018-09",145.94,17.4,21.9,26.4,16.2,70.0824676577276
"178","14000US18097357000",-86.1448,39.7462,228,"2018-10",55.03,8.3,13.3,18.4,7.6,68.3444680672476
"179","14000US18097357000",-86.1448,39.7462,228,"2018-11",110.3,-0.6,3,6.7,-0.8,76.0321133949619
"180","14000US18097357000",-86.1448,39.7462,228,"2018-12",73.21,-1.8,2.2,6.1,-1.7,75.3337044862563
"181","14000US18097357100",-86.1359,39.7476,228,"2018-01",53.71,-10.2,-5.1,0,-8.5,76.9309436821424
"182","14000US18097357100",-86.1359,39.7476,228,"2018-02",123.69,-2.1,2.6,7.4,-2.4,69.5164809510028
"183","14000US18097357100",-86.1359,39.7476,228,"2018-03",110.35,-1.1,3.6,8.3,-3.4,60.1034428155004
"184","14000US18097357100",-86.1359,39.7476,228,"2018-04",122.54,2.7,8,13.4,0,56.9379136074762
"185","14000US18097357100",-86.1359,39.7476,228,"2018-05",44.95,16.5,22.2,27.8,13.5,57.8215376721293
"186","14000US18097357100",-86.1359,39.7476,228,"2018-06",120.08,19.4,24.1,28.9,17.4,66.2061720290929
"187","14000US18097357100",-86.1359,39.7476,228,"2018-07",59.04,19.6,24.7,29.8,17.7,65.0919326777032
"188","14000US18097357100",-86.1359,39.7476,228,"2018-08",139.49,19.8,24.1,28.3,18.6,71.3946724227674
"189","14000US18097357100",-86.1359,39.7476,228,"2018-09",145.94,17.4,21.9,26.4,16.2,70.0824676577276
"190","14000US18097357100",-86.1359,39.7476,228,"2018-10",55.03,8.3,13.3,18.4,7.6,68.3444680672476
"191","14000US18097357100",-86.1359,39.7476,228,"2018-11",110.3,-0.6,3,6.7,-0.8,76.0321133949619
"192","14000US18097357100",-86.1359,39.7476,228,"2018-12",73.21,-1.8,2.2,6.1,-1.7,75.3337044862563
"193","14000US18097352800",-86.1298,39.7952,227,"2018-01",54.21,-10.2,-5.1,0,-8.5,76.9309436821424
"194","14000US18097352800",-86.1298,39.7952,227,"2018-02",126.9,-2.1,2.6,7.4,-2.4,69.5164809510028
"195","14000US18097352800",-86.1298,39.7952,227,"2018-03",108.99,-1,3.6,8.2,-3.3,60.5551477495615
"196","14000US18097352800",-86.1298,39.7952,227,"2018-04",114.86,2.7,8,13.2,0.1,57.3536120110072
"197","14000US18097352800",-86.1298,39.7952,227,"2018-05",48.09,16.6,22.2,27.7,13.6,58.1993282031701
"198","14000US18097352800",-86.1298,39.7952,227,"2018-06",145.16,19.5,24.2,28.9,17.5,66.227327841396
"199","14000US18097352800",-86.1298,39.7952,227,"2018-07",56.96,19.8,24.8,29.8,17.7,64.7046408604189
"200","14000US18097352800",-86.1298,39.7952,227,"2018-08",142.87,19.8,24.1,28.4,18.6,71.3946724227674
"201","14000US18097352800",-86.1298,39.7952,227,"2018-09",164.52,17.5,21.9,26.4,16.3,70.5306366520121
"202","14000US18097352800",-86.1298,39.7952,227,"2018-10",59.03,8.4,13.4,18.4,7.6,67.9001162074139
"203","14000US18097352800",-86.1298,39.7952,227,"2018-11",106.51,-0.6,3,6.6,-0.8,76.0321133949619
"204","14000US18097352800",-86.1298,39.7952,227,"2018-12",72.12,-1.6,2.3,6.2,-1.7,74.7976340288988
"205","14000US18097357200",-86.1262,39.7505,228,"2018-01",53.71,-10.2,-5.1,0,-8.5,76.9309436821424
"206","14000US18097357200",-86.1262,39.7505,228,"2018-02",123.69,-2.1,2.6,7.4,-2.4,69.5164809510028
"207","14000US18097357200",-86.1262,39.7505,228,"2018-03",110.35,-1.1,3.6,8.3,-3.4,60.1034428155004
"208","14000US18097357200",-86.1262,39.7505,228,"2018-04",122.54,2.7,8,13.4,0,56.9379136074762
"209","14000US18097357200",-86.1262,39.7505,228,"2018-05",44.95,16.5,22.2,27.8,13.5,57.8215376721293
"210","14000US18097357200",-86.1262,39.7505,228,"2018-06",120.08,19.4,24.1,28.9,17.4,66.2061720290929
"211","14000US18097357200",-86.1262,39.7505,228,"2018-07",59.04,19.6,24.7,29.8,17.7,65.0919326777032
"212","14000US18097357200",-86.1262,39.7505,228,"2018-08",139.49,19.8,24.1,28.3,18.6,71.3946724227674
"213","14000US18097357200",-86.1262,39.7505,228,"2018-09",145.94,17.4,21.9,26.4,16.2,70.0824676577276
"214","14000US18097357200",-86.1262,39.7505,228,"2018-10",55.03,8.3,13.3,18.4,7.6,68.3444680672476
"215","14000US18097357200",-86.1262,39.7505,228,"2018-11",110.3,-0.6,3,6.7,-0.8,76.0321133949619
"216","14000US18097357200",-86.1262,39.7505,228,"2018-12",73.21,-1.8,2.2,6.1,-1.7,75.3337044862563
"217","14000US18097357300",-86.1208,39.7431,228,"2018-01",53.71,-10.2,-5.1,0,-8.5,76.9309436821424
"218","14000US18097357300",-86.1208,39.7431,228,"2018-02",123.69,-2.1,2.6,7.4,-2.4,69.5164809510028
"219","14000US18097357300",-86.1208,39.7431,228,"2018-03",110.35,-1.1,3.6,8.3,-3.4,60.1034428155004
"220","14000US18097357300",-86.1208,39.7431,228,"2018-04",122.54,2.7,8,13.4,0,56.9379136074762
"221","14000US18097357300",-86.1208,39.7431,228,"2018-05",44.95,16.5,22.2,27.8,13.5,57.8215376721293
"222","14000US18097357300",-86.1208,39.7431,228,"2018-06",120.08,19.4,24.1,28.9,17.4,66.2061720290929
"223","14000US18097357300",-86.1208,39.7431,228,"2018-07",59.04,19.6,24.7,29.8,17.7,65.0919326777032
"224","14000US18097357300",-86.1208,39.7431,228,"2018-08",139.49,19.8,24.1,28.3,18.6,71.3946724227674
"225","14000US18097357300",-86.1208,39.7431,228,"2018-09",145.94,17.4,21.9,26.4,16.2,70.0824676577276
"226","14000US18097357300",-86.1208,39.7431,228,"2018-10",55.03,8.3,13.3,18.4,7.6,68.3444680672476
"227","14000US18097357300",-86.1208,39.7431,228,"2018-11",110.3,-0.6,3,6.7,-0.8,76.0321133949619
"228","14000US18097357300",-86.1208,39.7431,228,"2018-12",73.21,-1.8,2.2,6.1,-1.7,75.3337044862563
"229","14000US18097357400",-86.0975,39.7455,245,"2018-01",53.21,-10.2,-5.2,-0.2,-8.5,77.5181498518208
"230","14000US18097357400",-86.0975,39.7455,245,"2018-02",130.92,-2.6,2.3,7.2,-2.4,71.0193439045147
"231","14000US18097357400",-86.0975,39.7455,245,"2018-03",113.51,-1.5,3.4,8.2,-3.4,60.9590296806282
"232","14000US18097357400",-86.0975,39.7455,245,"2018-04",122.78,2.3,7.8,13.2,0,57.7194134927155
"233","14000US18097357400",-86.0975,39.7455,245,"2018-05",45.38,16,21.9,27.7,13.5,58.8881049085955
"234","14000US18097357400",-86.0975,39.7455,245,"2018-06",129.51,18.8,23.8,28.7,17.4,67.4095423320896
"235","14000US18097357400",-86.0975,39.7455,245,"2018-07",57.93,19,24.2,29.4,17.7,67.0680342659381
"236","14000US18097357400",-86.0975,39.7455,245,"2018-08",149.93,19.3,23.7,28.2,18.5,72.6744020551203
"237","14000US18097357400",-86.0975,39.7455,245,"2018-09",161.58,17,21.6,26.2,16.2,71.3782215583998
"238","14000US18097357400",-86.0975,39.7455,245,"2018-10",59.51,7.9,13.1,18.3,7.6,69.2429968504059
"239","14000US18097357400",-86.0975,39.7455,245,"2018-11",113.74,-1,2.8,6.6,-0.8,77.1199011608287
